EMPLOYER_NAME,target,value,source,pay
"Amazon CENTER, INC.",Amazon,5,SAN FRANCISCO COUNTY,102561.5
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,95000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,112500
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,125000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,125000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,115000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,117500
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,120000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,130000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,130000
